OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
216,2020,1504109,Magalhães Barata,PA,REGIÃO NORTE,0.01096504,0.00529851,0,0,0,0.00075851,0.10899442,0.12601648,0.877390101007925,0.0264273838411051
217,2020,1504208,Marabá,PA,REGIÃO NORTE,0.74071,0.0663282,0.17974719,0.51390097,0.20222222,0.69861534,0.17942475,2.58094867,10.2680639715157,1.23485208125647
218,2020,1504307,Maracanã,PA,REGIÃO NORTE,0.03619891,0.02014516,0,0,0,0.00283812,0.25316364,0.31234583,1.62557087983937,0.0695216375018758
219,2020,1504406,Marapanim,PA,REGIÃO NORTE,0.03374274,0.01605792,4.926e-05,0,0,0.0030729,0.01455998,0.0674828,1.70361087833864,0.0646737425573378
220,2020,1504422,Marituba,PA,REGIÃO NORTE,0.29540825,7.4e-05,0.00553632,2.415e-05,0,0.00045873,0,0.30150146,0.457099773540837,0.00839813376112171
221,2020,1504455,Medicilândia,PA,REGIÃO NORTE,0.0321547,0.02203858,1.019e-05,0,0,0.09425037,0.00442534,0.15287918,4.5774428421205,0.673082596669499
222,2020,1504505,Melgaço,PA,REGIÃO NORTE,0.02734046,0.0189783,0,0,0,0.00218722,0.00041005,0.04891603,4.99169045314557,0.550549614412761
223,2020,1504604,Mocajuba,PA,REGIÃO NORTE,0.03924732,0.01152452,0.00027097,0,0,0.00129941,0.00735267,0.05969488,1.99254958711915,0.0708148095035662
224,2020,1504703,Moju,PA,REGIÃO NORTE,0.07162034,0.05776107,0.0188329,0.0001531,0,0.05466384,0.1605045,0.36353575,5.65654064410598,0.739626416219646
225,2020,1504752,Mojuí dos Campos,PA,REGIÃO NORTE,0.05433851,0.00452525,0.00014296,0,0,0.00978178,0.00968199,0.07847049,2.95614867997496,0.405819097946915
226,2020,1504802,Monte Alegre,PA,REGIÃO NORTE,0.08868791,0.03005001,0.00029485,0.00015794,0,0.16065069,0.03699821,0.31683961,8.78028608490495,1.47508598771863
227,2020,1504901,Muaná,PA,REGIÃO NORTE,0.07557494,0.0207881,3.097e-05,0,0,0.01504781,0,0.11144182,3.03421562598474,0.30600378261737
228,2020,1504950,Nova Esperança do Piriá,PA,REGIÃO NORTE,0.03075964,0.01129381,0,0,0,0.01826612,0.07626034,0.13657991,3.66300961033028,0.22842809158506
229,2020,1504976,Nova Ipixuna,PA,REGIÃO NORTE,0.0325732,0.0072019,0.00052611,0.0001417,0,0.07812269,0.03385193,0.15241753,2.09550005668772,0.127544979062865
230,2020,1505007,Nova Timboteua,PA,REGIÃO NORTE,0.02075798,0.01068427,0.00014287,5.209e-05,0,0.011504,0.06773491,0.11087612,1.18003876738001,0.0398040813698854
231,2020,1505031,Novo Progresso,PA,REGIÃO NORTE,0.04456374,0.00607964,0.00744361,7.487e-05,0,0.38194797,0.02145849,0.46156833,11.6208892285751,3.13062509810674
232,2020,1505064,Novo Repartimento,PA,REGIÃO NORTE,0.097982,0.04079381,0.00074807,4.47e-06,0,0.64586023,0.0053334,0.79072199,6.49283428750941,1.25478927114919
233,2020,1505106,Óbidos,PA,REGIÃO NORTE,0.07033452,0.02767544,0.00177419,0,0,0.10767911,0.01588251,0.22334578,13.3462064643322,2.27697326681712
234,2020,1505205,Oeiras do Pará,PA,REGIÃO NORTE,0.0285696,0.01959744,3.59e-06,0,0,0.00217846,0.07264924,0.12299833,3.5111423852762,0.313207729409105
235,2020,1505304,Oriximiná,PA,REGIÃO NORTE,0.15156217,0.02709172,0.0003189,0.15137252,2.20638889,0.11031562,0.00907921,2.65612903,20.6472680435549,8.74314243072229
236,2020,1505403,Ourém,PA,REGIÃO NORTE,0.02925494,0.01121342,0.00047274,0.00058113,0,0.01169987,0.01912949,0.0723516,1.19689203422858,0.0457044225431373
237,2020,1505437,Ourilândia do Norte,PA,REGIÃO NORTE,0.17980484,0.00962363,0.00114912,0,0,0.12168905,8.131e-05,0.31234794,8.68926212195422,1.18064756163513
238,2020,1505486,Pacajá,PA,REGIÃO NORTE,0.08949662,0.02882562,1.134e-05,0,0,0.4037646,0.01216666,0.53426484,6.48831713267408,0.963213693043654
239,2020,1505494,Palestina do Pará,PA,REGIÃO NORTE,0.01441622,0.00245076,2.2e-06,0,0,0.02916367,0.00295646,0.04898931,1.57125974435668,0.0803911843182512
240,2020,1505502,Paragominas,PA,REGIÃO NORTE,0.26373635,0.02596619,0.02646319,0.19825334,0,0.18469564,0.54411089,1.2432256,11.4219707226759,1.57380797932128
241,2020,1505536,Parauapebas,PA,REGIÃO NORTE,0.49767584,0.01560299,0.01056062,6.96467032,0,0.07873086,0.04339492,7.61063556,5.4406661984515,0.562553924596962
242,2020,1505551,Pau D'Arco,PA,REGIÃO NORTE,0.00960958,0.00197143,0.00053612,2.08e-06,0,0.07196247,0,0.08408167,2.37003941793606,0.13700188960248
243,2020,1505601,Peixe-Boi,PA,REGIÃO NORTE,0.01204023,0.00404593,0,0,0,0.00970068,0.01156385,0.0373507,0.86228973423134,0.0365834781433591
244,2020,1505635,Piçarra,PA,REGIÃO NORTE,0.0143566,0.00872174,0.00367656,0,0,0.24855598,0,0.27531089,2.37506764658851,0.270844462911824
245,2020,1505650,Placas,PA,REGIÃO NORTE,0.01675993,0.02905787,0.00018684,0,0,0.09332306,0.01807578,0.15740348,5.2821359658913,0.584072405109443
246,2020,1505700,Ponta de Pedras,PA,REGIÃO NORTE,0.02892884,0.01830937,0,0,0,0.04299114,0,0.09022935,3.70785771164688,0.27344113192929
247,2020,1505809,Portel,PA,REGIÃO NORTE,0.05405291,0.03609732,9.847e-05,0,0,0.01203685,0,0.10228554,7.44966616223236,2.06436268829525
