"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-1.4820226676771","0.453403249669535","5.84400822817091","-0.232802389090295","0.330311999592524","1.19709751138306","3.8021357202845","1.20638511633453","-2.81290092122904","-3.96886865767652","-4.05726384937051","-1.29488058610072","2.01393034303211","1.64977104409169","3.04459956260411","2.07257629035635","-0.0908042666193865","1.76778307569118","5.32854688149598","1.78564275196634","3.85135068883298","1.91151095255142","6.65015280272007","8.09647460880755","7.68227556836172","8.4003894457271","2.94500246044356","-2.47650244267042","6.12162094426949","3.17972929271353","-0.0103075420338001","2.88570507506284","4.19386516740592","2.99096741922769","2.03832696335937","2.55925558692481","2.80479253776089","1.85631594648936","-4.73443150494943","4.33502024586529","2.69317541687326","1.9567003340053",
"Afghanistan","AFG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2696928807578","17.4760758595733","12.9917235906394","13.6675434460057","7.63312622043912","5.74181789016215","6.10714113128491","6.27060133814976","9.8076704185067","6.3940710078319","5.06099068169274","2.76578053402486","4.17112134442286","-0.765914428667429","9.20679243694582","11.0746416445024","4.84886805836136","-4.63025314891763","-12.8087400556664","-5.72521962070655","",
"Africa Western and Central","AFW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-8.65095277945885","-13.2001897597972","3.52645382970849","4.28757213917316","-2.86254131578609","2.70990754564582","5.28050012995766","1.30788351032602","13.7830188291064","-2.4898703967456","4.1555666593043","-5.22227095542105","-3.63416934212736","-1.38124089228907","5.18010279841531","2.75391198672854","1.2354963391092","-3.54389068012549","5.12822198720984","4.68301770595299","2.50223694259184","9.0602791091336","2.29977813437425","2.17519766216456","-0.991582187940281","-0.635285021747833","0.182899230326683","2.70257502777957","3.47028501578825","8.30197284907466","3.68517753823934","2.92547526672354","5.17491781446139","-0.771681395005587","-4.85843786406203","3.51342754145902","3.25805522212363","4.38998313578016","-3.23138814824644","0.930699679260272","-0.97174525342453","1.74450163421515",
"Angola","AGO","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0866424080792001","14.8009544378462","20.4959315130068","13.193350732774","19.7989008658808","9.56677077645377","-3.899999989337","-0.0920533055329997","-2.15553510475898","10.5139875295922","2.96821218361154","-1.56750375119191","8.28481557463465","-0.630334158430017","-3.1873396301667","-6.21294835541003","-3.47800034023365","-10.4615558636219","-8.33801683121339","1.76712331401487","-7.18413792234625",
"Albania","ALB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.4524587387743","17.7460750692314","19.2865124766897","25.4321391333758","20.2435938501869","6.74450887904325","12.7141773112148","7.20217872233124","6.00394619569731","9.20291329507195","4.58274474222738","6.9461474225045","1.86202001364686","3.39983816194058","2.26437554991978","-6.14066215173217","2.71720448128706","-3.31855847062698","2.57202261699526","1.89647552363607","1.79485713219346","9.79416428201854","0.915144134070431","-4.09893332737713","13.7990077114885","7.86445492146922","4.03162289637045",
"Andorra","AND","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70682948279944","5.55434545850576","11.7770178645127","10.1273834955297","7.10060588643819","5.6705871830419","-2.8037580938677","-5.81281431650447","-9.39139680558445","-12.8647959183673","-9.27481921714435","-11.6589757655942","-7.49926943308007","-1.98633653200648","-0.278001611603543","5.36543978021091","2.86437363395835","8.24573175277716","7.75535505200082","-3.89581335890061","5.74972564929665","-1.22641509433963","3.88411333970073",
"Arab World","ARB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00406658048207","0.344235590648537","4.05613736892742","11.0082464105759","6.21250377982933","8.01976038374217","3.89521344600472","6.49714009473811","-1.23371146641743","7.01724551217559","3.90042335712113","5.89955314147315","0.793598374246443","1.84764500325582","4.42830548521084","5.902562493343","2.07690375301696","3.58442132380293","1.92286452932669","-4.98526094820618","6.98882913755585","9.71518080122497","",
"United Arab Emirates","ARE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.69817290503974","7.09153873457208","9.35979229655473","3.82841658458814","13.8193134310363","-2.68203146676764","2.57325814477313","-6.51233839706642","2.46674578184876","7.77982979533134","2.35563430491339","3.01720964658911","1.15423824364875","8.00932937809804","5.0229683505524","-2.89994038885604","3.28401441158086","-0.841637646844404","-2.7899192094865","2.62696115674348","8.48906459150251","",
"Argentina","ARG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","1.10973168809214","4.23108006804362","9.4742084109032","11.5461698030809","-0.93025074280439","6.3292660113858","3.12389382410676","0.805741915574856","6.03750326062902","-1.0910075681474","0.555648947286102","8.62908987394545","-8.33489904116936","7.5414052472055","-1.2889504608861","-10.6633342647625","-3.20938122189585","5.37768781572736","0.674286429664491","-8.65101189162193","8.63026418211921","3.35677692623644","-3.5519761838143","-8.5887611394292","-5.32530798648239","10.6874598654654","11.0167529206409","5.47029702567141","6.20635123777579","-3.5514369316778","6.19344587122571","8.37113960852946","1.94610164803552","-6.62248952143577","-2.19535196176197","-5.19148858795911","-11.3563772213886","14.1613607347498","10.8153351886694","6.53438408640605","8.66492235309941","6.03334742709707","3.07204281358982","-6.43334090641412","8.80489749044955","5.83091783894156","-2.20112663055619","0.551194177258154","-3.46203501608358","1.38980831410751","-5.82515874143607","2.3028329031401","-3.04931518944642","-4.7407553055391","-9.28398483969283","15.4590696871446","5.71114135958608","-0.346169102961539",
