OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
152,1980,1600402,Mazagão,AP,REGIÃO NORTE,0.01752111,0.02549304,0.00047002,0.00046624,0,0.00485844,0,0.04880885,15.5733216381648,3.78603721928824
153,1980,1600501,Oiapoque,AP,REGIÃO NORTE,0.01887919,0.00363323,8.115e-05,3e-08,0,0.00097409,0,0.0235677,8.83095158058368,1.84119724974292
154,1980,2000107,Fernando de Noronha,PE,REGIÃO NORDESTE,0.00433817,0,0,0,0,0,0,0.00433817,0.241544726630841,0.00140251960698241
155,1980,2100105,Afonso Cunha,MA,REGIÃO NORDESTE,0.0022463,0.00327662,0.00010726,0,0,0.00324564,0,0.00887582,0.79815801543134,0.0302979488816011
156,1980,2100204,Alcântara,MA,REGIÃO NORDESTE,0.01010234,0.01887382,0.000551,0,0,0.00502093,0.00038836,0.03493645,1.91562094031224,0.120981941803862
157,1980,2100303,Aldeias Altas,MA,REGIÃO NORDESTE,0.00475223,0.02011736,0.00129213,0,0,0.01610918,0.00133069,0.04360158,1.97254811312607,0.157794418717566
158,1980,2100402,Altamira do Maranhão,MA,REGIÃO NORDESTE,0.00360996,0.0262003,0.00015621,0,0,0.02054775,0,0.05051422,0.883309761350713,0.0371077888045145
159,1980,2100501,Alto Parnaíba,MA,REGIÃO NORDESTE,0.00620694,0.00638303,7.148e-05,4.3e-06,0,0.02411318,3.831e-05,0.03681724,4.80338134117062,0.918189643833494
160,1980,2100600,Amarante do Maranhão,MA,REGIÃO NORDESTE,0.01099093,0.01628716,0.00013587,0,0,0.02202126,0,0.04943522,3.92855903030085,0.606712375442473
161,1980,2100709,Anajatuba,MA,REGIÃO NORDESTE,0.01272448,0.01860219,0.00111243,0,0,0.03305057,8.135e-05,0.06557102,1.25957254752358,0.0922554715790556
162,1980,2100808,Anapurus,MA,REGIÃO NORDESTE,0.00506054,0.00811169,0.0001476,0,0,0.00485602,0,0.01817585,1.47586571313059,0.0495583939388105
163,1980,2100907,Araioses,MA,REGIÃO NORDESTE,0.00906241,0.04364808,0.001403,0.00037192,0,0.02296481,0.05725818,0.1347084,2.18117022347805,0.164412742552704
164,1980,2101004,Arari,MA,REGIÃO NORDESTE,0.01750528,0.01567011,0.00024215,0,0,0.01927397,0.00224551,0.05493704,2.0056879678965,0.0880597364025148
165,1980,2101103,Axixá,MA,REGIÃO NORDESTE,0.00261964,0.00920457,0.00052846,0.00037091,0,0.00039521,6.44e-06,0.01312523,0.693079002710732,0.0163226765294608
166,1980,2101202,Bacabal,MA,REGIÃO NORDESTE,0.09880748,0.0443764,0.02209059,0,0,0.06372933,0.00047312,0.22947693,2.8795284517238,0.141626107395304
167,1980,2101301,Bacuri,MA,REGIÃO NORDESTE,0.00811652,0.01929044,0.00261205,6.403e-05,0,0.00475468,0,0.03483771,4.89501856538012,0.0848834412484149
168,1980,2101400,Balsas,MA,REGIÃO NORDESTE,0.06696102,0.01187025,0.00252569,0,0,0.02315583,0.00093839,0.10545118,7.92196900429397,1.03111174212473
169,1980,2101509,Barão de Grajaú,MA,REGIÃO NORDESTE,0.01397114,0.00916182,0.001158,0,0,0.01223716,0.00098727,0.0375154,1.92115056494996,0.190615606902808
170,1980,2101608,Barra do Corda,MA,REGIÃO NORDESTE,0.08286722,0.06460742,0.00419834,0,0,0.03857428,0.00068395,0.19093121,6.26102507792299,1.06502385296521
171,1980,2101707,Barreirinhas,MA,REGIÃO NORDESTE,0.01977171,0.02504492,0.0004474,0,0,0.01799261,0.00044103,0.06369766,2.94891114157934,0.200050870224917
172,1980,2101806,Benedito Leite,MA,REGIÃO NORDESTE,0.00260348,0.0088566,0.00016229,0,0,0.01282008,0.00158342,0.02602587,3.00144866427611,0.192398771244724
173,1980,2101905,Bequimão,MA,REGIÃO NORDESTE,0.00520368,0.02038624,0.00109785,0,0,0.02624431,0.0001749,0.05310698,1.18618821367293,0.062903848358883
174,1980,2102002,Bom Jardim,MA,REGIÃO NORDESTE,0.01539788,0.03173662,0.00123745,0,0,0.0194137,0.00039317,0.06817882,4.75842846474451,0.607726081137491
175,1980,2102101,Brejo,MA,REGIÃO NORDESTE,0.02397645,0.02277433,0.00041105,0,0,0.01813702,0.00565005,0.0709489,1.53653301846933,0.115972407569914
176,1980,2102200,Buriti,MA,REGIÃO NORDESTE,0.00771979,0.02182354,0.00021909,0,0,0.02660054,0.00316863,0.05953159,1.42112602063572,0.114262447413193
177,1980,2102309,Buriti Bravo,MA,REGIÃO NORDESTE,0.02298186,0.01307663,0.00064965,0,0,0.01162973,0,0.04833787,1.76053922668958,0.141057823716827
178,1980,2102408,Cajapió,MA,REGIÃO NORDESTE,0.00724469,0.01230454,0.00289325,0,0,0.02796349,0.00045489,0.05086086,1.62009888419972,0.124020026019621
179,1980,2102507,Cajari,MA,REGIÃO NORDESTE,0.00817562,0.0163784,0.00093715,0,0,0.02183697,0.04029297,0.08762111,1.26064353390417,0.0339974117930624
180,1980,2102606,Cândido Mendes,MA,REGIÃO NORDESTE,0.01305308,0.01820059,0.00041568,0,0,0.0085617,0.00172384,0.04195488,6.94974798141912,0.342753979394097
181,1980,2102705,Cantanhede,MA,REGIÃO NORDESTE,0.01195573,0.0164334,0.00042889,0,0,0.01678283,0.0011833,0.04678414,2.22709952045409,0.12812062511433
182,1980,2102804,Carolina,MA,REGIÃO NORDESTE,0.05942866,0.0229517,0.00151699,1e-07,0,0.06440363,0.0049497,0.15325078,7.37017891534686,0.831770376364466
183,1980,2102903,Carutapera,MA,REGIÃO NORDESTE,0.00883584,0.01574489,0.00056653,1.718e-05,0,0.01701794,0.00101583,0.04319821,11.629226074481,1.02432657729
184,1980,2103000,Caxias,MA,REGIÃO NORDESTE,0.22748676,0.0791984,0.01781623,6e-07,0,0.05504476,0.01463131,0.39417807,3.89198139695935,0.55226151057374
185,1980,2103109,Cedral,MA,REGIÃO NORDESTE,0.00319411,0.01367619,0.00178658,0,0,0.00207477,0.00012203,0.02085368,1.83631299895748,0.0404076898608801
